time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
1.451000,6.416877,0.138645,-0.000184,6.562485,0.492011,-0.000202,5.000000,0.000000,0.000000,45.004959,44.945449,44.994278,45.053788,0.000000,-0.000042,0.000000,0.000000
1.501000,5.872090,0.012458,-0.000514,5.901756,0.266884,-0.000549,4.000000,0.000000,0.000000,44.895094,44.927138,45.104143,45.073625,0.000000,-0.000086,0.000000,0.000000
1.551000,5.364808,-0.079837,-0.000963,5.521898,0.097689,-0.001003,4.000000,0.000000,0.000000,44.968338,45.015640,45.030900,44.985122,0.000000,-0.000100,0.000000,0.000000
1.601000,4.843004,-0.150501,-0.001470,4.915804,0.130626,-0.001513,3.000000,0.000000,0.000000,44.902724,44.943923,45.096513,45.056840,0.000000,-0.000107,0.000000,0.000000
1.651000,4.350541,-0.213778,-0.001987,4.226210,0.144182,-0.002027,3.000000,0.000000,0.000000,44.948501,44.956130,45.050736,45.044633,0.000000,-0.000100,0.000000,0.000000
1.701000,3.894436,-0.252366,-0.002474,3.732550,-0.146019,-0.002515,2.000000,0.000000,0.000000,44.893568,44.963760,45.105669,45.037003,0.000000,-0.000101,0.000000,0.000000
1.751000,3.456554,-0.222680,-0.002900,3.295493,-0.211053,-0.002928,2.000000,0.000000,0.000000,44.980545,44.975967,45.018692,45.024796,0.000000,-0.000070,0.000000,0.000000
1.801000,2.999369,-0.165322,-0.003164,2.952934,0.179155,-0.003178,1.000000,0.000000,0.000000,45.017166,44.893568,44.982071,45.107195,0.000000,-0.000036,0.000000,0.000000
1.851000,2.513156,-0.187364,-0.003317,2.586675,0.301709,-0.003330,1.000000,0.000000,0.000000,45.033951,44.982071,44.965286,45.018692,0.000000,-0.000032,0.000000,0.000000
1.901000,1.977632,-0.250527,-0.003504,2.052924,-0.077298,-0.003524,0.000000,0.000000,0.000000,44.888991,44.979019,45.111772,45.021744,0.000000,-0.000049,0.000000,0.000000
1.951000,1.433661,-0.277593,-0.003763,1.691020,0.071462,-0.003782,0.000000,0.000000,0.000000,45.000381,44.998856,45.000381,45.000381,0.000000,-0.000048,0.000000,0.000000
2.001000,0.864567,-0.298140,-0.004035,1.009946,0.002524,-0.004057,1.000000,0.000000,0.000000,44.910353,44.922560,45.088884,45.076677,0.000000,-0.000055,0.000000,0.000000
2.051000,0.582494,-0.317341,-0.004289,0.878016,-0.038491,-0.004306,1.000000,0.000000,0.000000,44.905776,44.945449,45.093462,45.055314,0.000000,-0.000042,0.000000,0.000000
2.101000,0.558107,-0.321180,-0.004464,0.982693,-0.195068,-0.004479,2.000000,0.000000,0.000000,44.974441,45.033951,45.024796,44.966812,0.000000,-0.000037,0.000000,0.000000
2.151000,0.674861,-0.300137,-0.004631,1.106359,-0.057863,-0.004644,2.000000,0.000000,0.000000,44.946975,44.943923,45.052262,45.056840,0.000000,-0.000033,0.000000,0.000000
2.201000,0.939386,-0.281410,-0.004740,1.252572,-0.152489,-0.004745,3.000000,0.000000,0.000000,44.992752,45.026322,45.006485,44.972915,0.000000,-0.000014,0.000000,0.000000
2.251000,1.319484,-0.244422,-0.004796,1.779343,-0.157732,-0.004798,3.000000,0.000000,0.000000,45.017166,45.018692,44.982071,44.980545,0.000000,-0.000007,0.000000,0.000000
2.301000,1.744586,-0.206814,-0.004841,2.037793,-0.095122,-0.004844,4.000000,0.000000,0.000000,45.033951,45.032425,44.965286,44.966812,0.000000,-0.000006,0.000000,0.000000
2.351000,2.202432,-0.180213,-0.004887,2.477686,-0.172364,-0.004891,4.000000,0.000000,0.000000,44.983597,45.011063,45.015640,44.989700,0.000000,-0.000008,0.000000,0.000000
2.401000,2.723212,-0.130731,-0.004935,2.693580,-0.195114,-0.004943,5.000000,0.000000,0.000000,45.037003,45.018692,44.963760,44.980545,0.000000,-0.000019,0.000000,0.000000
2.451000,3.291937,-0.071651,-0.005100,3.308177,-0.178540,-0.005114,5.000000,0.000000,0.000000,45.018692,45.023270,44.980545,44.977493,0.000000,-0.000035,0.000000,0.000000
2.501000,3.878842,-0.033170,-0.005275,3.722156,-0.004540,-0.005291,6.000000,0.000000,0.000000,45.067521,45.035477,44.931716,44.965286,0.000000,-0.000039,0.000000,0.000000
2.551000,4.469733,-0.038562,-0.005419,4.324987,0.282237,-0.005429,6.000000,0.000000,0.000000,45.076677,44.995804,44.922560,45.004959,0.000000,-0.000026,0.000000,0.000000
2.601000,5.040152,-0.093668,-0.005475,5.139452,0.162605,-0.005475,7.000000,0.000000,0.000000,45.093462,45.098039,44.907301,44.902724,0.000000,-0.000001,0.000000,0.000000
2.651000,5.524859,-0.143131,-0.005405,5.451390,-0.088488,-0.005397,7.000000,0.000000,0.000000,44.956130,45.027848,45.043107,44.971389,0.000000,0.000020,0.000000,0.000000
2.701000,6.010062,-0.151330,-0.005258,6.222847,-0.054833,-0.005244,8.000000,0.000000,0.000000,45.075151,45.090410,44.924086,44.910353,0.000000,0.000034,0.000000,0.000000
2.751000,6.441581,-0.149624,-0.005068,6.801988,-0.038778,-0.005052,8.000000,0.000000,0.000000,45.024796,45.032425,44.974441,44.968338,0.000000,0.000039,0.000000,0.000000
2.801000,6.840976,-0.149798,-0.004865,7.253411,0.081343,-0.004851,9.000000,0.000000,0.000000,45.055314,45.026322,44.945449,44.972915,0.000000,0.000034,0.000000,0.000000
2.851000,7.257748,-0.181303,-0.004711,7.427011,0.212441,-0.004696,9.000000,0.000000,0.000000,44.995804,44.959182,45.003433,45.040055,0.000000,0.000037,0.000000,0.000000
2.901000,7.767030,-0.251010,-0.004455,7.959782,0.331954,-0.004428,10.000000,0.000000,0.000000,45.079728,45.058366,44.921035,44.940871,0.000000,0.000065,0.000000,0.000000
2.951000,8.295031,-0.343714,-0.004077,8.453937,0.173535,-0.004040,10.000000,0.000000,0.000000,45.001907,45.037003,44.997330,44.962234,0.000000,0.000091,0.000000,0.000000
3.001000,8.830298,-0.410719,-0.003577,9.068588,0.169666,-0.003535,9.000000,0.000000,0.000000,45.096513,45.081254,44.904250,44.917983,0.000000,0.000103,0.000000,0.000000
3.051000,9.086284,-0.464023,-0.003088,9.109401,0.076324,-0.003051,9.000000,0.000000,0.000000,45.052262,45.088884,44.948501,44.910353,0.000000,0.000090,0.000000,0.000000
3.101000,9.089650,-0.497040,-0.002676,9.138665,-0.017547,-0.002646,8.000000,0.000000,0.000000,44.997330,45.015640,45.003433,44.983597,0.000000,0.000074,0.000000,0.000000
3.151000,8.910275,-0.514023,-0.002356,8.905716,0.267172,-0.002333,8.000000,0.000000,0.000000,45.053788,44.974441,44.945449,45.024796,0.000000,0.000056,0.000000,0.000000
3.201000,8.600010,-0.577065,-0.002127,8.677452,0.457378,-0.002114,7.000000,0.000000,0.000000,45.001907,44.924086,44.997330,45.076677,0.000000,0.000032,0.000000,0.000000
3.251000,8.209317,-0.697267,-0.002046,8.162942,0.461158,-0.002048,7.000000,0.000000,0.000000,44.988174,44.966812,45.012589,45.032425,0.000000,-0.000003,0.000000,0.000000
3.301000,7.802614,-0.823365,-0.002174,7.676348,0.187399,-0.002189,6.000000,0.000000,0.000000,44.911879,44.959182,45.087358,45.040055,0.000000,-0.000037,0.000000,0.000000
3.351000,7.409395,-0.894503,-0.002383,6.923802,0.090382,-0.002399,6.000000,0.000000,0.000000,44.942397,44.953079,45.056840,45.047684,0.000000,-0.000038,0.000000,0.000000
3.401000,7.054024,-0.918173,-0.002542,6.712482,-0.096749,-0.002553,5.000000,0.000000,0.000000,44.943923,44.980545,45.055314,45.020218,0.000000,-0.000028,0.000000,0.000000
3.451000,6.671624,-0.913178,-0.002640,6.295184,-0.216977,-0.002646,5.000000,0.000000,0.000000,44.979019,45.046159,45.020218,44.953079,0.000000,-0.000016,0.000000,0.000000
3.501000,6.242704,-0.862597,-0.002703,5.767856,-0.569336,-0.002704,4.000000,0.000000,0.000000,44.876783,44.992752,45.122454,45.006485,0.000000,-0.000003,0.000000,0.000000
3.551000,5.802715,-0.741293,-0.002616,5.572649,-0.393725,-0.002603,4.000000,0.000000,0.000000,45.035477,45.012589,44.965286,44.986648,0.000000,0.000032,0.000000,0.000000
3.601000,5.290417,-0.610643,-0.002372,5.001551,-0.378745,-0.002344,3.000000,0.000000,0.000000,44.928664,44.928664,45.070573,45.070573,0.000000,0.000070,0.000000,0.000000
3.651000,4.783171,-0.511713,-0.001951,4.335296,-0.071951,-0.001912,3.000000,0.000000,0.000000,45.000381,44.933242,45.000381,45.065995,0.000000,0.000096,0.000000,0.000000
3.701000,4.304354,-0.472883,-0.001464,3.772783,0.030980,-0.001427,2.000000,0.000000,0.000000,44.942397,44.895094,45.056840,45.104143,0.000000,0.000093,0.000000,0.000000
3.751000,3.851025,-0.472308,-0.001042,3.193444,0.180161,-0.001014,2.000000,0.000000,0.000000,44.994278,44.928664,45.006485,45.070573,0.000000,0.000071,0.000000,0.000000
3.801000,3.427059,-0.507946,-0.000749,2.801093,-0.054465,-0.000729,1.000000,0.000000,0.000000,44.927138,44.989700,45.073625,45.009537,0.000000,0.000050,0.000000,0.000000
3.851000,2.993107,-0.518596,-0.000566,2.412148,-0.288726,-0.000556,1.000000,0.000000,0.000000,44.953079,45.049210,45.046159,44.950027,0.000000,0.000026,0.000000,0.000000
3.901000,2.513224,-0.474900,-0.000394,2.106890,-0.218780,-0.000378,0.000000,0.000000,0.000000,44.969863,44.965286,45.030900,45.033951,0.000000,0.000039,0.000000,0.000000
3.951000,1.980322,-0.418174,-0.000205,1.629804,0.065208,-0.000188,0.000000,0.000000,0.000000,45.027848,44.937819,44.972915,45.061418,0.000000,0.000041,0.000000,0.000000
4.001000,1.429510,-0.393300,-0.000026,1.133678,0.035760,-0.000012,0.000000,1.000000,0.000000,44.979019,44.931716,45.020218,45.069047,0.000000,0.000034,0.000000,0.000000
4.051000,1.024592,-0.302330,0.000210,0.574556,0.275007,0.000233,0.000000,1.000000,0.000000,44.890517,44.969863,45.108721,45.029374,0.000000,0.000055,0.000000,0.000000
4.101000,0.781039,-0.113964,0.000526,0.253348,0.356044,0.000554,0.000000,2.000000,0.000000,44.951553,44.960708,45.049210,45.038529,0.000000,0.000068,0.000000,0.000000
4.151000,0.668835,0.172560,0.000907,0.038119,0.593999,0.000940,0.000000,2.000000,0.000000,44.933242,45.026322,45.067521,44.972915,0.000000,0.000082,0.000000,0.000000
4.201000,0.615356,0.552324,0.001342,0.257522,1.139341,0.001378,0.000000,3.000000,0.000000,45.064469,44.960708,44.934768,45.038529,0.000000,0.000090,0.000000,0.000000
4.251000,0.537628,0.963622,0.001796,0.080525,1.323615,0.001831,0.000000,3.000000,0.000000,44.956130,45.014115,45.044633,44.985122,0.000000,0.000088,0.000000,0.000000
4.301000,0.476491,1.444869,0.002212,0.261665,1.943441,0.002245,0.000000,4.000000,0.000000,45.090410,44.933242,44.910353,45.065995,0.000000,0.000080,0.000000,0.000000
4.351000,0.390125,1.932808,0.002623,0.259412,2.155986,0.002657,0.000000,4.000000,0.000000,44.969863,45.026322,45.030900,44.972915,0.000000,0.000084,0.000000,0.000000
4.401000,0.311691,2.464614,0.003077,0.100246,2.864020,0.003116,0.000000,5.000000,0.000000,45.085832,44.902724,44.913405,45.096513,0.000000,0.000096,0.000000,0.000000
4.451000,0.248811,2.989726,0.003564,0.114891,3.202872,0.003605,0.000000,5.000000,0.000000,44.985122,44.975967,45.015640,45.023270,0.000000,0.000100,0.000000,0.000000
4.501000,0.169205,3.541393,0.004073,0.306616,3.875724,0.004117,0.000000,6.000000,0.000000,45.108721,44.907301,44.892042,45.091936,0.000000,0.000106,0.000000,0.000000
4.551000,0.065677,4.071833,0.004623,0.061745,4.228973,0.004669,0.000000,6.000000,0.000000,44.974441,44.956130,45.026322,45.043107,0.000000,0.000114,0.000000,0.000000
4.601000,0.014987,4.633850,0.005196,0.035250,4.750452,0.005241,0.000000,7.000000,0.000000,45.091936,44.904250,44.908827,45.094987,0.000000,0.000111,0.000000,0.000000
4.651000,0.002211,5.187160,0.005709,-0.024811,5.114027,0.005746,0.000000,7.000000,0.000000,44.989700,44.998856,45.011063,45.000381,0.000000,0.000094,0.000000,0.000000
4.701000,0.002185,5.755270,0.006108,-0.126516,5.804700,0.006135,0.000000,8.000000,0.000000,45.075151,44.882887,44.924086,45.116350,0.000000,0.000066,0.000000,0.000000
4.751000,0.031286,6.289928,0.006384,-0.138740,6.439476,0.006400,0.000000,8.000000,0.000000,45.041581,44.962234,44.959182,45.037003,0.000000,0.000040,0.000000,0.000000
4.801000,0.077272,6.781903,0.006505,-0.085261,7.162517,0.006510,0.000000,9.000000,0.000000,45.107195,44.910353,44.892042,45.090410,0.000000,0.000014,0.000000,0.000000
4.851000,0.122710,7.205109,0.006565,-0.143117,7.482685,0.006566,0.000000,9.000000,0.000000,44.995804,45.027848,45.004959,44.972915,0.000000,0.000002,0.000000,0.000000
4.901000,0.183486,7.660609,0.006512,-0.228808,7.957363,0.006501,0.000000,10.000000,0.000000,45.064469,44.933242,44.936294,45.067521,0.000000,-0.000027,0.000000,0.000000
4.951000,0.270781,8.119782,0.006300,-0.473091,8.471393,0.006276,0.000000,10.000000,0.000000,44.980545,44.962234,45.018692,45.038529,0.000000,-0.000058,0.000000,0.000000
5.001000,0.408995,8.589209,0.005928,-0.370396,8.988882,0.005892,0.000000,9.000000,0.000000,45.084306,44.936294,44.914931,45.064469,0.000000,-0.000088,0.000000,0.000000
5.051000,0.542102,8.863772,0.005443,-0.372721,9.142872,0.005402,0.000000,9.000000,0.000000,45.120928,44.887465,44.879835,45.111772,0.000000,-0.000102,0.000000,0.000000
5.101000,0.642101,8.912272,0.004925,-0.125469,8.915905,0.004887,0.000000,8.000000,0.000000,45.006485,45.020218,44.992752,44.980545,0.000000,-0.000095,0.000000,0.000000
5.151000,0.683385,8.841153,0.004521,0.019485,8.731642,0.004492,0.000000,8.000000,0.000000,45.075151,44.966812,44.924086,45.032425,0.000000,-0.000071,0.000000,0.000000
5.201000,0.667277,8.659631,0.004167,0.301110,8.347682,0.004139,0.000000,7.000000,0.000000,44.991226,45.073625,45.009537,44.927138,0.000000,-0.000068,0.000000,0.000000
5.251000,0.575062,8.411887,0.003835,0.146630,7.976302,0.003809,0.000000,7.000000,0.000000,44.968338,44.974441,45.030900,45.026322,0.000000,-0.000066,0.000000,0.000000
5.301000,0.511223,8.112909,0.003474,-0.010374,7.802213,0.003442,0.000000,6.000000,0.000000,44.980545,44.998856,45.018692,45.001907,0.000000,-0.000079,0.000000,0.000000
5.351000,0.481405,7.754358,0.003114,0.182461,7.483970,0.003086,0.000000,6.000000,0.000000,45.038529,44.985122,44.962234,45.014115,0.000000,-0.000070,0.000000,0.000000
5.401000,0.441603,7.323987,0.002729,-0.025575,6.892395,0.002699,0.000000,5.000000,0.000000,44.917983,45.064469,45.081254,44.936294,0.000000,-0.000076,0.000000,0.000000
5.451000,0.436873,6.889577,0.002402,0.237129,6.418873,0.002377,0.000000,5.000000,0.000000,45.030900,45.055314,44.968338,44.945449,0.000000,-0.000060,0.000000,0.000000
5.501000,0.372045,6.440004,0.002106,0.314063,5.894659,0.002081,0.000000,4.000000,0.000000,44.931716,45.078202,45.067521,44.922560,0.000000,-0.000062,0.000000,0.000000
5.551000,0.249413,6.011564,0.001783,0.284271,5.622340,0.001751,0.000000,4.000000,0.000000,45.015640,44.946975,44.983597,45.053788,0.000000,-0.000079,0.000000,0.000000
5.601000,0.132554,5.542016,0.001343,-0.025560,4.992221,0.001303,0.000000,3.000000,0.000000,44.872206,45.024796,45.127031,44.975967,0.000000,-0.000098,0.000000,0.000000
5.651000,0.089348,5.063116,0.000845,-0.054290,4.763868,0.000804,0.000000,3.000000,0.000000,45.008011,44.963760,44.991226,45.037003,0.000000,-0.000101,0.000000,0.000000
5.701000,0.083913,4.534652,0.000410,0.228034,4.271123,0.000380,0.000000,2.000000,0.000000,44.974441,45.091936,45.024796,44.907301,0.000000,-0.000075,0.000000,0.000000
5.751000,0.029003,4.005212,0.000013,0.195428,3.678422,-0.000021,0.000000,2.000000,0.000000,44.989700,45.018692,45.009537,44.982071,0.000000,-0.000082,0.000000,0.000000
5.801000,-0.050334,3.473345,-0.000393,0.312964,3.245422,-0.000426,0.000000,1.000000,0.000000,44.945449,45.064469,45.053788,44.936294,0.000000,-0.000081,0.000000,0.000000
5.851000,-0.159279,2.934746,-0.000843,0.107670,2.861351,-0.000882,0.000000,1.000000,0.000000,44.966812,44.963760,45.032425,45.037003,0.000000,-0.000097,0.000000,0.000000
5.901000,-0.225097,2.356896,-0.001355,0.017223,2.137952,-0.001395,0.000000,0.000000,0.000000,44.876783,45.090410,45.122454,44.910353,0.000000,-0.000101,0.000000,0.000000
5.951000,-0.247983,1.823277,-0.001815,-0.102840,1.583307,-0.001849,0.000000,0.000000,0.000000,44.953079,45.003433,45.046159,44.995804,0.000000,-0.000087,0.000000,0.000000
6.001000,-0.218526,1.320903,-0.002188,-0.164445,0.973936,-0.002211,0.000000,1.000000,0.000000,44.919509,45.085832,45.079728,44.913405,0.000000,-0.000056,0.000000,0.000000
6.051000,-0.164854,1.038326,-0.002423,-0.126658,0.737014,-0.002436,0.000000,1.000000,0.000000,44.863050,45.133135,45.137713,44.867628,0.000000,-0.000034,0.000000,0.000000
6.101000,-0.143220,1.008244,-0.002579,-0.000925,0.658098,-0.002588,0.000000,2.000000,0.000000,44.957656,45.059892,45.041581,44.939345,0.000000,-0.000023,0.000000,0.000000
6.151000,-0.145393,1.158638,-0.002703,-0.165392,0.874861,-0.002712,0.000000,2.000000,0.000000,44.904250,45.032425,45.094987,44.966812,0.000000,-0.000022,0.000000,0.000000
6.201000,-0.113617,1.455215,-0.002814,-0.074316,1.069855,-0.002825,0.000000,3.000000,0.000000,45.027848,45.003433,44.971389,44.997330,0.000000,-0.000028,0.000000,0.000000
6.251000,-0.061806,1.834237,-0.002962,-0.219129,1.561103,-0.002976,0.000000,3.000000,0.000000,44.992752,45.011063,45.006485,44.989700,0.000000,-0.000035,0.000000,0.000000
6.301000,-0.007665,2.259972,-0.003156,0.026641,1.982792,-0.003172,0.000000,4.000000,0.000000,45.075151,44.977493,44.924086,45.023270,0.000000,-0.000040,0.000000,0.000000
6.351000,-0.009228,2.700985,-0.003299,0.036364,2.474146,-0.003308,0.000000,4.000000,0.000000,45.004959,44.992752,44.995804,45.006485,0.000000,-0.000023,0.000000,0.000000
6.401000,-0.014448,3.164884,-0.003417,-0.139296,2.910222,-0.003423,0.000000,5.000000,0.000000,45.032425,44.925612,44.966812,45.073625,0.000000,-0.000015,0.000000,0.000000
6.451000,-0.008074,3.625365,-0.003495,0.036041,3.479591,-0.003502,0.000000,5.000000,0.000000,45.017166,44.991226,44.982071,45.009537,0.000000,-0.000017,0.000000,0.000000
6.501000,-0.019505,4.103925,-0.003551,-0.073131,3.861267,-0.003554,0.000000,6.000000,0.000000,45.046159,44.924086,44.953079,45.075151,0.000000,-0.000008,0.000000,0.000000
6.551000,-0.010559,4.593720,-0.003582,-0.100370,4.308743,-0.003587,0.000000,6.000000,0.000000,45.003433,44.997330,44.997330,45.003433,0.000000,-0.000011,0.000000,0.000000
6.601000,0.024254,5.103781,-0.003678,0.048211,4.912735,-0.003689,0.000000,7.000000,0.000000,45.108721,44.959182,44.890517,45.041581,0.000000,-0.000028,0.000000,0.000000
6.651000,0.037239,5.585523,-0.003789,-0.150305,5.449513,-0.003798,0.000000,7.000000,0.000000,44.994278,44.968338,45.004959,45.030900,0.000000,-0.000021,0.000000,0.000000
6.701000,0.073464,6.075859,-0.003907,-0.018027,5.865005,-0.003915,0.000000,8.000000,0.000000,45.085832,44.951553,44.913405,45.047684,0.000000,-0.000021,0.000000,0.000000
6.751000,0.073805,6.567028,-0.003994,0.143444,6.623779,-0.003996,0.000000,8.000000,0.000000,45.069047,44.957656,44.931716,45.041581,0.000000,-0.000005,0.000000,0.000000
6.801000,0.022435,7.017767,-0.003999,0.015617,7.170308,-0.003999,0.000000,9.000000,0.000000,45.049210,44.896620,44.951553,45.102617,0.000000,-0.000001,0.000000,0.000000
6.851000,-0.010092,7.418621,-0.004013,-0.013576,7.603793,-0.004015,0.000000,9.000000,0.000000,44.985122,44.989700,45.014115,45.009537,0.000000,-0.000004,0.000000,0.000000
6.901000,-0.024468,7.851359,-0.004025,-0.060271,7.959382,-0.004025,0.000000,10.000000,0.000000,45.049210,44.927138,44.951553,45.073625,0.000000,0.000001,0.000000,0.000000
6.951000,-0.014328,8.316464,-0.004023,-0.140910,8.304108,-0.004022,0.000000,10.000000,0.000000,44.975967,45.000381,45.023270,44.998856,0.000000,0.000003,0.000000,0.000000
7.001000,0.011473,8.816099,-0.004025,-0.090803,9.088815,-0.004028,0.000000,9.000000,0.000000,45.099565,44.890517,44.899672,45.110246,0.000000,-0.000005,0.000000,0.000000
7.051000,0.030571,9.078369,-0.004076,-0.013741,9.246675,-0.004084,0.000000,9.000000,0.000000,45.130083,44.887465,44.869154,45.113298,0.000000,-0.000020,0.000000,0.000000
7.101000,0.027008,9.099757,-0.004131,-0.057099,9.341176,-0.004134,0.000000,8.000000,0.000000,45.041581,44.925612,44.957656,45.073625,0.000000,-0.000009,0.000000,0.000000
7.151000,0.028716,8.940535,-0.004173,-0.266760,9.224760,-0.004174,0.000000,8.000000,0.000000,45.038529,44.884413,44.962234,45.116350,0.000000,-0.000003,0.000000,0.000000
